"","Quadrant","Cover Value","Family"
"1853","Q7",NA,"Grass"
"1854","Q7",NA,"Grass"
"1855","Q7",NA,"Grass"
"1856","Q7",NA,"Grass"
"1857","Q1",NA,"Grass"
"1858","Q1",NA,"Grass"
"1859","Q4",5,"Grass"
"1860","Q4",5,"Grass"
"1861","Q8",NA,"Grass"
"1862","Q8",NA,"Grass"
"1863","Q4",2,"Grass"
"1864","Q4",2,"Grass"
"1865","Q4",4,"Grass"
"1866","Q4",4,"Grass"
"1867","Q7",NA,"Grass"
"1868","Q7",NA,"Grass"
"1869","Q4",NA,"Grass"
"1870","Q4",NA,"Grass"
"1871","Q9",NA,"Grass"
"1872","Q9",NA,"Grass"
"1873","Q6",NA,"Grass"
"1874","Q6",NA,"Grass"
"1875","Q6",NA,"Grass"
"1876","Q6",NA,"Grass"
"1877","Q7",1,"Grass"
"1878","Q7",1,"Grass"
"1879","Q9",NA,"Grass"
"1880","Q9",NA,"Grass"
"1881","Q3",NA,"Grass"
"1882","Q3",NA,"Grass"
"1883","Q8",NA,"Grass"
"1884","Q8",NA,"Grass"
"1885","Q4",NA,"Grass"
"1886","Q4",NA,"Grass"
"1887","Q3",2,"Grass"
"1888","Q3",2,"Grass"
"1889","Q10",4,"Grass"
"1890","Q10",4,"Grass"
"1891","Q5",NA,"Grass"
"1892","Q5",NA,"Grass"
"1893","Q7",2,"Grass"
"1894","Q7",2,"Grass"
"1895","Q2",NA,"Grass"
"1896","Q2",NA,"Grass"
"1897","Q8",NA,"Grass"
"1898","Q8",NA,"Grass"
"1899","Q3",NA,"Grass"
"1900","Q3",NA,"Grass"
"1901","Q10",5,"Grass"
"1902","Q10",5,"Grass"
"1903","Q2",NA,"Grass"
"1904","Q2",NA,"Grass"
"1905","Q9",NA,"Grass"
"1906","Q9",NA,"Grass"
"1907","Q5",NA,"Grass"
"1908","Q5",NA,"Grass"
"1909","Q7",NA,"Grass"
"1910","Q7",NA,"Grass"
"1911","Q2",3,"Grass"
"1912","Q2",3,"Grass"
"1913","Q3",NA,"Grass"
"1914","Q3",NA,"Grass"
"1915","Q4",NA,"Grass"
"1916","Q4",NA,"Grass"
"1917","Q1",NA,"Grass"
"1918","Q1",NA,"Grass"
"1919","Q10",NA,"Grass"
"1920","Q10",NA,"Grass"
"1921","Q9",NA,"Grass"
"1922","Q9",NA,"Grass"
"1923","Q7",NA,"Grass"
"1924","Q7",NA,"Grass"
"1925","Q1",3,"Grass"
"1926","Q1",3,"Grass"
"1927","Q9",NA,"Grass"
"1928","Q9",NA,"Grass"
"1929","Q1",2,"Grass"
"1930","Q1",2,"Grass"
"1931","Q8",NA,"Grass"
"1932","Q8",NA,"Grass"
"1933","Q2",NA,"Grass"
"1934","Q2",NA,"Grass"
"1935","Q10",NA,"Grass"
"1936","Q10",NA,"Grass"
"1937","Q2",NA,"Grass"
"1938","Q2",NA,"Grass"
"1939","Q8",NA,"Grass"
"1940","Q8",NA,"Grass"
"1941","Q1",2,"Grass"
"1942","Q5",3,"Grass"
"1943","Q7",2,"Grass"
"1944","Q3",2,"Grass"
"1945","Q6",3,"Grass"
"1946","Q5",NA,"Grass"
"1947","Q9",6,"Grass"
"1948","Q1",NA,"Grass"
"1949","Q10",NA,"Grass"
"1950","Q2",1,"Grass"
"1951","Q10",1,"Grass"
"1952","Q8",NA,"Grass"
"1953","Q4",NA,"Grass"
"1954","Q9",5,"Grass"
"1955","Q7",NA,"Grass"
"1956","Q1",NA,"Grass"
"1957","Q5",NA,"Grass"
"1958","Q3",NA,"Grass"
"1959","Q6",NA,"Grass"
"1960","Q4",NA,"Grass"
"1961","Q3",NA,"Grass"
"1962","Q2",NA,"Grass"
"1963","Q6",1,"Grass"
"1964","Q3",NA,"Grass"
"1965","Q2",NA,"Grass"
"1966","Q8",3,"Grass"
"1967","Q10",NA,"Grass"
"1968","Q4",NA,"Grass"
"1969","Q5",2,"Grass"
"1970","Q2",1,"Grass"
"1971","Q2",2,"Grass"
"1972","Q9",NA,"Grass"
"1973","Q6",2,"Grass"
"1974","Q9",NA,"Grass"
"1975","Q3",NA,"Grass"
"1976","Q7",4,"Grass"
"1977","Q7",1,"Grass"
"1978","Q8",NA,"Grass"
"1979","Q10",NA,"Grass"
"1980","Q2",1,"Grass"
"1981","Q10",NA,"Grass"
"1982","Q7",NA,"Grass"
"1983","Q1",NA,"Grass"
"1984","Q3",2,"Grass"
"1985","Q4",2,"Grass"
"1986","Q6",NA,"Grass"
"1987","Q7",NA,"Grass"
"1988","Q5",2,"Grass"
"1989","Q9",1,"Grass"
"1990","Q4",4,"Grass"
"1991","Q6",NA,"Grass"
"1992","Q7",5,"Grass"
"1993","Q1",1,"Grass"
"1994","Q6",NA,"Grass"
"1995","Q1",2,"Grass"
"1996","Q5",3,"Grass"
"1997","Q2",NA,"Grass"
"1998","Q5",NA,"Grass"
"1999","Q2",1,"Grass"
"2000","Q8",1,"Grass"
"2001","Q10",NA,"Grass"
"2002","Q8",3,"Grass"
"2003","Q1",NA,"Grass"
"2004","Q7",3,"Grass"
"2005","Q4",NA,"Grass"
"2006","Q10",4,"Grass"
"2007","Q8",6,"Grass"
"2008","Q10",2,"Grass"
"2009","Q1",NA,"Grass"
"2010","Q8",NA,"Grass"
"2011","Q3",NA,"Grass"
"2012","Q8",NA,"Grass"
"2013","Q5",1,"Grass"
"2014","Q6",NA,"Grass"
"2015","Q9",NA,"Grass"
"2016","Q5",NA,"Grass"
"2017","Q4",NA,"Grass"
"2018","Q8",2,"Grass"
"2019","Q10",NA,"Grass"
"2020","Q6",3,"Grass"
"2021","Q9",NA,"Grass"
"2022","Q3",NA,"Grass"
"2023","Q4",2,"Grass"
"2024","Q1",NA,"Grass"
"2025","Q2",NA,"Grass"
"2026","Q9",NA,"Grass"
"2027","Q4",NA,"Grass"
"2028","Q9",1,"Grass"
"2029","Q3",NA,"Grass"
"2030","Q7",NA,"Grass"
"2031","Q9",NA,"Grass"
"2032","Q1",1,"Grass"
"2033","Q10",2,"Grass"
"2034","Q5",2,"Grass"
"2035","Q7",1,"Grass"
"2036","Q6",1,"Grass"
"2037","Q6",3,"Grass"
"2038","Q2",1,"Grass"
"2039","Q1",NA,"Grass"
"2040","Q6",NA,"Grass"
"2041","Q10",NA,"Grass"
"2042","Q8",3,"Grass"
"2043","Q10",1,"Grass"
"2044","Q6",2,"Grass"
"2045","Q8",NA,"Grass"
"2046","Q10",1,"Grass"
"2047","Q4",2,"Grass"
"2048","Q6",NA,"Grass"
"2049","Q7",NA,"Grass"
"2050","Q3",1,"Grass"
"2051","Q8",NA,"Grass"
"2052","Q3",2,"Grass"
"2053","Q2",2,"Grass"
"2054","Q5",NA,"Grass"
"2055","Q2",NA,"Grass"
"2056","Q1",NA,"Grass"
"2057","Q5",NA,"Grass"
"2058","Q4",NA,"Grass"
"2059","Q2",1,"Grass"
"2060","Q4",NA,"Grass"
"2061","Q2",1,"Grass"
"2062","Q1",NA,"Grass"
"2063","Q4",2,"Grass"
"2064","Q4",NA,"Grass"
"2065","Q5",1,"Grass"
"2066","Q9",1,"Grass"
"2067","Q1",NA,"Grass"
"2068","Q6",NA,"Grass"
"2069","Q3",NA,"Grass"
"2070","Q7",NA,"Grass"
"2071","Q3",NA,"Grass"
"2072","Q8",NA,"Grass"
"2073","Q9",NA,"Grass"
"2074","Q8",2,"Grass"
"2075","Q10",NA,"Grass"
"2076","Q3",2,"Grass"
"2077","Q8",NA,"Grass"
"2078","Q3",2,"Grass"
"2079","Q4",1,"Grass"
"2080","Q7",2,"Grass"
"2081","Q5",NA,"Grass"
"2082","Q7",NA,"Grass"
"2083","Q1",2,"Grass"
"2084","Q9",NA,"Grass"
"2085","Q2",NA,"Grass"
"2086","Q10",NA,"Grass"
"2087","Q9",2,"Grass"
"2088","Q7",NA,"Grass"
"2089","Q5",4,"Grass"
"2090","Q9",3,"Grass"
"2091","Q2",3,"Grass"
"2092","Q2",3,"Grass"
"2093","Q1",NA,"Grass"
"2094","Q1",NA,"Grass"
"2095","Q9",NA,"Grass"
"2096","Q9",NA,"Grass"
"2097","Q3",1,"Grass"
"2098","Q3",1,"Grass"
"2099","Q3",NA,"Grass"
"2100","Q3",NA,"Grass"
"2101","Q10",NA,"Grass"
"2102","Q10",NA,"Grass"
"2103","Q2",NA,"Grass"
"2104","Q2",NA,"Grass"
"2105","Q6",NA,"Grass"
"2106","Q6",NA,"Grass"
"2107","Q4",NA,"Grass"
"2108","Q4",NA,"Grass"
"2109","Q2",NA,"Grass"
"2110","Q2",NA,"Grass"
"2111","Q1",NA,"Grass"
"2112","Q1",NA,"Grass"
"2113","Q8",2,"Grass"
"2114","Q8",2,"Grass"
"2115","Q7",NA,"Grass"
"2116","Q7",NA,"Grass"
"2117","Q9",NA,"Grass"
"2118","Q9",NA,"Grass"
"2119","Q5",1,"Grass"
"2120","Q5",1,"Grass"
"2121","Q8",NA,"Grass"
"2122","Q8",NA,"Grass"
"2123","Q4",1,"Grass"
"2124","Q4",1,"Grass"
"2125","Q6",NA,"Grass"
"2126","Q6",NA,"Grass"
"2127","Q4",NA,"Grass"
"2128","Q4",NA,"Grass"
"2129","Q10",NA,"Grass"
"2130","Q10",NA,"Grass"
"2131","Q10",1,"Grass"
"2132","Q10",1,"Grass"
"2133","Q2",NA,"Grass"
"2134","Q2",NA,"Grass"
"2135","Q7",NA,"Grass"
"2136","Q7",NA,"Grass"
"2137","Q7",NA,"Grass"
"2138","Q7",NA,"Grass"
"2139","Q6",NA,"Grass"
"2140","Q6",NA,"Grass"
"2141","Q3",NA,"Grass"
"2142","Q3",NA,"Grass"
"2143","Q7",2,"Grass"
"2144","Q7",2,"Grass"
"2145","Q2",2,"Grass"
"2146","Q2",2,"Grass"
"2147","Q5",NA,"Grass"
"2148","Q5",NA,"Grass"
"2149","Q3",NA,"Grass"
"2150","Q3",NA,"Grass"
"2151","Q6",NA,"Grass"
"2152","Q6",NA,"Grass"
"2153","Q5",NA,"Grass"
"2154","Q5",NA,"Grass"
"2155","Q1",NA,"Grass"
"2156","Q1",NA,"Grass"
"2157","Q1",1,"Grass"
"2158","Q1",1,"Grass"
"2159","Q4",NA,"Grass"
"2160","Q4",NA,"Grass"
"2161","Q4",NA,"Grass"
"2162","Q4",NA,"Grass"
"2163","Q8",NA,"Grass"
"2164","Q8",NA,"Grass"
"2165","Q2",1,"Grass"
"2166","Q2",1,"Grass"
"2167","Q1",NA,"Grass"
"2168","Q1",NA,"Grass"
"2169","Q2",NA,"Grass"
"2170","Q2",NA,"Grass"
"2171","Q8",NA,"Grass"
"2172","Q8",NA,"Grass"
"2173","Q6",4,"Grass"
"2174","Q6",4,"Grass"
"2175","Q1",NA,"Grass"
"2176","Q1",NA,"Grass"
"2177","Q9",NA,"Grass"
"2178","Q9",NA,"Grass"
"2179","Q7",NA,"Grass"
"2180","Q7",NA,"Grass"
"2181","Q1",4,"Grass"
"2182","Q1",4,"Grass"
"2183","Q3",2,"Grass"
"2184","Q3",2,"Grass"
"2185","Q4",NA,"Grass"
"2186","Q4",NA,"Grass"
"2187","Q2",NA,"Grass"
"2188","Q2",NA,"Grass"
"2189","Q3",NA,"Grass"
"2190","Q3",NA,"Grass"
"2191","Q5",1,"Grass"
"2192","Q5",1,"Grass"
"2193","Q3",1,"Grass"
"2194","Q3",1,"Grass"
"2195","Q8",4,"Grass"
"2196","Q8",4,"Grass"
"2197","Q5",1,"Grass"
"2198","Q5",1,"Grass"
"2199","Q9",NA,"Grass"
"2200","Q9",NA,"Grass"
"2201","Q4",2,"Grass"
"2202","Q4",2,"Grass"
"2203","Q7",2,"Grass"
"2204","Q7",2,"Grass"
"2205","Q4",NA,"Grass"
"2206","Q4",NA,"Grass"
"2207","Q9",NA,"Grass"
"2208","Q9",NA,"Grass"
"2209","Q2",NA,"Grass"
"2210","Q2",NA,"Grass"
"2211","Q4",NA,"Grass"
"2212","Q4",NA,"Grass"
"2213","Q10",NA,"Grass"
"2214","Q10",NA,"Grass"
"2215","Q3",NA,"Grass"
"2216","Q3",NA,"Grass"
"2217","Q3",NA,"Grass"
"2218","Q3",NA,"Grass"
"2219","Q4",NA,"Grass"
"2220","Q4",NA,"Grass"
"2221","Q8",NA,"Grass"
"2222","Q8",NA,"Grass"
"2223","Q5",NA,"Grass"
"2224","Q5",NA,"Grass"
"2225","Q5",NA,"Grass"
"2226","Q5",NA,"Grass"
"2227","Q3",NA,"Grass"
"2228","Q3",NA,"Grass"
"2229","Q10",NA,"Grass"
"2230","Q10",NA,"Grass"
"2231","Q10",NA,"Grass"
"2232","Q10",NA,"Grass"
"2233","Q6",NA,"Grass"
"2234","Q6",NA,"Grass"
"2235","Q1",3,"Grass"
"2236","Q1",3,"Grass"
"2237","Q7",NA,"Grass"
"2238","Q7",NA,"Grass"
"2239","Q8",2,"Grass"
"2240","Q8",2,"Grass"
"2241","Q9",NA,"Grass"
"2242","Q9",NA,"Grass"
"2243","Q10",NA,"Grass"
"2244","Q10",NA,"Grass"
"2245","Q6",4,"Grass"
"2246","Q6",4,"Grass"
"2247","Q10",NA,"Grass"
"2248","Q10",NA,"Grass"
"2249","Q4",NA,"Grass"
"2250","Q4",NA,"Grass"
"2251","Q2",NA,"Grass"
"2252","Q2",NA,"Grass"
"2253","Q7",NA,"Grass"
"2254","Q7",NA,"Grass"
"2255","Q4",1,"Grass"
"2256","Q4",1,"Grass"
"2257","Q8",NA,"Grass"
"2258","Q8",NA,"Grass"
"2259","Q7",NA,"Grass"
"2260","Q7",NA,"Grass"
"2261","Q7",NA,"Grass"
"2262","Q7",NA,"Grass"
"2263","Q6",NA,"Grass"
"2264","Q6",NA,"Grass"
"2265","Q9",NA,"Grass"
"2266","Q9",NA,"Grass"
"2267","Q3",2,"Grass"
"2268","Q3",2,"Grass"
"2269","Q5",NA,"Grass"
"2270","Q5",NA,"Grass"
"2271","Q4",NA,"Grass"
"2272","Q4",NA,"Grass"
"2273","Q2",NA,"Grass"
"2274","Q2",NA,"Grass"
"2275","Q2",2,"Grass"
"2276","Q2",2,"Grass"
"2277","Q10",NA,"Grass"
"2278","Q10",NA,"Grass"
"2279","Q4",NA,"Grass"
"2280","Q4",NA,"Grass"
"2281","Q3",NA,"Grass"
"2282","Q3",NA,"Grass"
"2283","Q6",NA,"Grass"
"2284","Q6",NA,"Grass"
"2285","Q3",3,"Grass"
"2286","Q3",3,"Grass"
"2287","Q7",2,"Grass"
"2288","Q7",2,"Grass"
"2289","Q6",3,"Grass"
"2290","Q6",3,"Grass"
"2291","Q1",NA,"Grass"
"2292","Q1",NA,"Grass"
"2293","Q1",NA,"Grass"
"2294","Q1",NA,"Grass"
"2295","Q1",NA,"Grass"
"2296","Q1",NA,"Grass"
"2297","Q9",2,"Grass"
"2298","Q9",2,"Grass"
"2299","Q1",1,"Grass"
"2300","Q1",1,"Grass"
"2301","Q6",NA,"Grass"
"2302","Q6",NA,"Grass"
"2303","Q10",NA,"Grass"
"2304","Q10",NA,"Grass"
"2305","Q2",NA,"Grass"
"2306","Q2",NA,"Grass"
"2307","Q2",2,"Grass"
"2308","Q2",2,"Grass"
"2309","Q1",NA,"Grass"
"2310","Q1",NA,"Grass"
"2311","Q5",2,"Grass"
"2312","Q5",2,"Grass"
"2313","Q9",2,"Grass"
"2314","Q9",2,"Grass"
"2315","Q10",NA,"Grass"
"2316","Q10",NA,"Grass"
"2317","Q8",NA,"Grass"
"2318","Q8",NA,"Grass"
"2319","Q7",NA,"Grass"
"2320","Q7",NA,"Grass"
"2321","Q3",NA,"Grass"
"2322","Q3",NA,"Grass"
"2323","Q10",1,"Grass"
"2324","Q10",1,"Grass"
"2325","Q6",1,"Grass"
"2326","Q6",1,"Grass"
"2327","Q8",NA,"Grass"
"2328","Q8",NA,"Grass"
"2329","Q2",NA,"Grass"
"2330","Q2",NA,"Grass"
"2331","Q5",NA,"Grass"
"2332","Q5",NA,"Grass"
"2333","Q9",NA,"Grass"
"2334","Q9",NA,"Grass"
"2335","Q9",1,"Grass"
"2336","Q9",1,"Grass"
"2337","Q3",NA,"Grass"
"2338","Q3",NA,"Grass"
"2339","Q9",NA,"Grass"
"2340","Q9",NA,"Grass"
"2341","Q3",2,"Grass"
"2342","Q3",2,"Grass"
"2343","Q6",2,"Grass"
"2344","Q6",2,"Grass"
"2345","Q9",NA,"Grass"
"2346","Q9",NA,"Grass"
"2347","Q2",NA,"Grass"
"2348","Q2",NA,"Grass"
"2349","Q8",NA,"Grass"
"2350","Q8",NA,"Grass"
"2351","Q1",2,"Grass"
"2352","Q1",2,"Grass"
"2353","Q10",NA,"Grass"
"2354","Q10",NA,"Grass"
"2355","Q4",2,"Grass"
"2356","Q4",2,"Grass"
"2357","Q3",1,"Grass"
"2358","Q3",1,"Grass"
"2359","Q7",NA,"Grass"
"2360","Q7",NA,"Grass"
"2361","Q9",1,"Grass"
"2362","Q9",1,"Grass"
"2363","Q4",4,"Grass"
"2364","Q4",4,"Grass"
"2365","Q9",NA,"Grass"
"2366","Q9",NA,"Grass"
"2367","Q10",2,"Grass"
"2368","Q10",2,"Grass"
"2369","Q1",1,"Grass"
"2370","Q1",1,"Grass"
"2371","Q5",1,"Grass"
"2372","Q5",1,"Grass"
"2373","Q7",NA,"Grass"
"2374","Q7",NA,"Grass"
"2375","Q2",1,"Grass"
"2376","Q2",1,"Grass"
"2377","Q8",5,"Grass"
"2378","Q8",5,"Grass"
"2379","Q5",NA,"Grass"
"2380","Q5",NA,"Grass"
"2381","Q2",1,"Grass"
"2382","Q2",1,"Grass"
"2383","Q8",NA,"Grass"
"2384","Q8",NA,"Grass"
"2385","Q6",NA,"Grass"
"2386","Q6",NA,"Grass"
"2387","Q10",NA,"Grass"
"2388","Q10",NA,"Grass"
"2389","Q7",NA,"Grass"
"2390","Q7",NA,"Grass"
"2391","Q7",NA,"Grass"
"2392","Q7",NA,"Grass"
"2393","Q4",1,"Grass"
"2394","Q4",1,"Grass"
"2395","Q1",NA,"Grass"
"2396","Q1",NA,"Grass"
"2397","Q5",NA,"Grass"
"2398","Q5",NA,"Grass"
"2399","Q10",NA,"Grass"
"2400","Q10",NA,"Grass"
"2401","Q8",NA,"Grass"
"2402","Q8",NA,"Grass"
"2403","Q8",NA,"Grass"
"2404","Q8",NA,"Grass"
"2405","Q5",NA,"Grass"
"2406","Q5",NA,"Grass"
"2407","Q7",NA,"Grass"
"2408","Q7",NA,"Grass"
"2409","Q3",1,"Grass"
"2410","Q3",1,"Grass"
"2411","Q6",NA,"Grass"
"2412","Q6",NA,"Grass"
"2413","Q10",1,"Grass"
"2414","Q10",1,"Grass"
"2415","Q6",NA,"Grass"
"2416","Q6",NA,"Grass"
"2417","Q1",1,"Grass"
"2418","Q1",1,"Grass"
"2419","Q9",NA,"Grass"
"2420","Q9",NA,"Grass"
"2421","Q9",NA,"Grass"
"2422","Q9",NA,"Grass"
"2423","Q4",NA,"Grass"
"2424","Q4",NA,"Grass"
"2425","Q10",3,"Grass"
"2426","Q10",3,"Grass"
"2427","Q8",2,"Grass"
"2428","Q8",2,"Grass"
"2429","Q5",NA,"Grass"
"2430","Q5",NA,"Grass"
"2431","Q6",2,"Grass"
"2432","Q6",2,"Grass"
"2433","Q8",1,"Grass"
"2434","Q8",1,"Grass"
"2435","Q5",NA,"Grass"
"2436","Q5",NA,"Grass"
"2437","Q5",NA,"Grass"
"2438","Q5",NA,"Grass"
"2439","Q8",NA,"Grass"
"2440","Q8",NA,"Grass"
"2441","Q5",1,"Grass"
"2442","Q5",1,"Grass"
"2443","Q7",NA,"Grass"
"2444","Q7",NA,"Grass"
"2445","Q1",NA,"Grass"
"2446","Q1",NA,"Grass"
"2447","Q6",NA,"Grass"
"2448","Q6",NA,"Grass"
"2449","Q9",2,"Grass"
"2450","Q9",2,"Grass"
"2451","Q3",NA,"Pea"
"2452","Q6",NA,"Pea"
"2453","Q2",NA,"Pea"
"2454","Q10",1,"Pea"
"2455","Q10",1,"Pea"
"2456","Q3",NA,"Pea"
"2457","Q7",NA,"Pea"
"2458","Q1",NA,"Pea"
"2459","Q6",NA,"Pea"
"2460","Q8",1,"Pea"
"2461","Q9",NA,"Pea"
"2462","Q7",NA,"Pea"
"2463","Q8",NA,"Pea"
"2464","Q4",NA,"Pea"
"2465","Q3",NA,"Pea"
"2466","Q7",1,"Pea"
"2467","Q4",NA,"Pea"
"2468","Q2",NA,"Pea"
"2469","Q6",NA,"Pea"
"2470","Q7",NA,"Pea"
"2471","Q9",NA,"Pea"
"2472","Q3",NA,"Pea"
"2473","Q4",NA,"Pea"
"2474","Q4",NA,"Pea"
"2475","Q4",NA,"Pea"
"2476","Q7",NA,"Pea"
"2477","Q6",1,"Pea"
"2478","Q2",1,"Pea"
"2479","Q5",NA,"Pea"
"2480","Q3",NA,"Pea"
"2481","Q8",NA,"Pea"
"2482","Q5",NA,"Pea"
"2483","Q9",NA,"Pea"
"2484","Q7",NA,"Pea"
"2485","Q5",NA,"Pea"
"2486","Q9",NA,"Pea"
"2487","Q10",1,"Pea"
"2488","Q7",NA,"Pea"
"2489","Q9",NA,"Pea"
"2490","Q8",NA,"Pea"
"2491","Q6",NA,"Pea"
"2492","Q7",1,"Pea"
"2493","Q2",NA,"Pea"
"2494","Q9",NA,"Pea"
"2495","Q8",NA,"Pea"
"2496","Q10",NA,"Pea"
"2497","Q4",1,"Pea"
"2498","Q8",NA,"Pea"
"2499","Q10",1,"Pea"
"2500","Q1",NA,"Pea"
"2501","Q5",NA,"Pea"
"2502","Q2",NA,"Pea"
"2503","Q10",NA,"Pea"
"2504","Q3",NA,"Pea"
"2505","Q2",NA,"Pea"
"2506","Q5",1,"Pea"
"2507","Q10",NA,"Pea"
"2508","Q3",NA,"Pea"
"2509","Q2",NA,"Pea"
"2510","Q3",NA,"Pea"
"2511","Q5",NA,"Pea"
"2512","Q4",2,"Pea"
"2513","Q4",NA,"Pea"
"2514","Q6",NA,"Pea"
"2515","Q6",NA,"Pea"
"2516","Q1",1,"Pea"
"2517","Q3",1,"Pea"
