"","Field ID","Species","Visit ID","Q1","Q1FC","Q2","Q2FC","Q3","Q3FC","Q4","Q4FC","Q5","Q5FC","Q6","Q6FC","Q7","Q7FC","Q8","Q8FC","Q9","Q9FC","Q10","Q10FC","Transect","Date","Coefficient of Conservatism","Planted Date","Seed Vendor"
"55","Antelope11005","Lepidium densiflorum","SP1Knievel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,2018-06-06,"0",2014-11-01,"Star Seed - Dealer - PF"
"56","Antelope11005","Achillea millefolium","SP1Knievel",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2018-06-06,"2",2014-11-01,"Star Seed - Dealer - PF"
"57","Antelope11005","Chenopodium album","SP2Knievel",NA,NA,1,NA,1,NA,2,NA,1,NA,1,NA,1,NA,2,NA,2,NA,1,NA,2,2018-06-06,"*",2014-11-01,"Star Seed - Dealer - PF"
"58","Antelope11005","Conyza canadensis","SP1Knievel",2,NA,2,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,2018-06-06,"0",2014-11-01,"Star Seed - Dealer - PF"
"59","Antelope11005","Achillea millefolium","SP2Knievel",2,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,2018-06-06,"2",2014-11-01,"Star Seed - Dealer - PF"
"60","Antelope11005","Eragrostis trichodes","SP1Knievel",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2018-06-06,"5",2014-11-01,"Star Seed - Dealer - PF"
"61","Antelope11005","Lespedeza capitata","SP2Knievel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,2018-06-06,"5",2014-11-01,"Star Seed - Dealer - PF"
"62","Antelope11005","Ratibida pinnata","SP1Knievel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,1,NA,1,2018-06-06,"4",2014-11-01,"Star Seed - Dealer - PF"
"63","Antelope11005","Potentilla arguta","SP1Knievel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,2018-06-06,"6",2014-11-01,"Star Seed - Dealer - PF"
"64","Antelope11005","Ambrosia trifida","SP2Knievel",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2018-06-06,"0",2014-11-01,"Star Seed - Dealer - PF"
"65","Antelope11005","Oenothera biennis","SP2Knievel",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2018-06-06,"1",2014-11-01,"Star Seed - Dealer - PF"
"66","Antelope11005","Rudbeckia hirta","SP2Knievel",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2018-06-06,"4",2014-11-01,"Star Seed - Dealer - PF"
"67","Antelope11005","Cynanchum laeve","SP2Knievel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,2018-06-06,"0",2014-11-01,"Star Seed - Dealer - PF"
"68","Antelope11005","Ambrosia trifida","SP1Knievel",NA,NA,1,NA,2,NA,3,NA,1,NA,2,NA,2,NA,NA,NA,2,NA,1,NA,1,2018-06-06,"0",2014-11-01,"Star Seed - Dealer - PF"
"69","Antelope11005","Schizachyrium scoparium","SP2Knievel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,2018-06-06,"4",2014-11-01,"Star Seed - Dealer - PF"
"70","Antelope11005","Sorghastrum nutans","SP2Knievel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,2,2018-06-06,"5",2014-11-01,"Star Seed - Dealer - PF"
"71","Antelope11005","Elymus canadensis","SP1Knievel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,2018-06-06,"5",2014-11-01,"Star Seed - Dealer - PF"
"72","Antelope11005","Oxalis stricta","SP1Knievel",NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2018-06-06,"0",2014-11-01,"Star Seed - Dealer - PF"
"73","Antelope11005","Oxalis stricta","SP2Knievel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,2,2018-06-06,"0",2014-11-01,"Star Seed - Dealer - PF"
"74","Antelope11005","Schizachyrium scoparium","SP1Knievel",NA,NA,2,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,2,NA,NA,NA,1,2018-06-06,"4",2014-11-01,"Star Seed - Dealer - PF"
"75","Antelope11005","Litter","SP2Knievel",6,NA,6,NA,6,NA,6,NA,3,NA,6,NA,6,NA,3,NA,6,NA,6,NA,2,2018-06-06,NA,2014-11-01,"Star Seed - Dealer - PF"
"76","Antelope11005","Polygonum sp.","SP2Knievel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,2,2018-06-06,NA,2014-11-01,"Star Seed - Dealer - PF"
"77","Antelope11005","Securigera varia","SP1Knievel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,1,NA,NA,1,2018-06-06,"*",2014-11-01,"Star Seed - Dealer - PF"
"78","Antelope11005","Pascopyrum smithii","SP1Knievel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2018-06-06,"3",2014-11-01,"Star Seed - Dealer - PF"
"79","Antelope11005","Oenothera rhombipetala","SP1Knievel",NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2018-06-06,"2",2014-11-01,"Star Seed - Dealer - PF"
"80","Antelope11005","Bare Ground","SP1Knievel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,2,NA,NA,NA,1,2018-06-06,NA,2014-11-01,"Star Seed - Dealer - PF"
"81","Antelope11005","Chenopodium album","SP1Knievel",NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,2018-06-06,"*",2014-11-01,"Star Seed - Dealer - PF"
"82","Antelope11005","Bare Ground","SP2Knievel",NA,NA,NA,NA,NA,NA,1,NA,3,NA,1,NA,NA,NA,3,NA,1,NA,1,NA,2,2018-06-06,NA,2014-11-01,"Star Seed - Dealer - PF"
"83","Antelope11005","Chloris verticillata","SP2Knievel",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,2,2018-06-06,"0",2014-11-01,"Star Seed - Dealer - PF"
"84","Antelope11005","Rudbeckia hirta","SP1Knievel",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,1,2018-06-06,"4",2014-11-01,"Star Seed - Dealer - PF"
"85","Antelope11005","Sorghastrum nutans","SP1Knievel",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,1,2018-06-06,"5",2014-11-01,"Star Seed - Dealer - PF"
"86","Antelope11005","Carex brevior","SP1Knievel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,2018-06-06,"4",2014-11-01,"Star Seed - Dealer - PF"
"87","Antelope11005","Conyza canadensis","SP2Knievel",1,NA,2,NA,2,NA,2,NA,2,NA,2,NA,1,NA,2,NA,NA,NA,2,NA,2,2018-06-06,"0",2014-11-01,"Star Seed - Dealer - PF"
"88","Antelope11005","Eragrostis trichodes","SP2Knievel",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2018-06-06,"5",2014-11-01,"Star Seed - Dealer - PF"
"89","Antelope11025A","Chenopodium album","SP2Pellatz",1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2018-06-06,"*",2015-05-31,"Kaup Forage and Turf"
"90","Antelope11025A","Litter","SP2Pellatz",2,NA,4,NA,3,NA,5,NA,4,NA,3,NA,2,NA,2,NA,2,NA,1,NA,2,2018-06-06,NA,2015-05-31,"Kaup Forage and Turf"
"91","Antelope11025A","Cannabis sativa","SP2Pellatz",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2018-06-06,"*",2015-05-31,"Kaup Forage and Turf"
"92","Antelope11025A","Ambrosia artemisiifolia","SP2Pellatz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,NA,2,2018-06-06,"0",2015-05-31,"Kaup Forage and Turf"
"93","Antelope11025A","Oenothera laciniata","SP2Pellatz",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2018-06-06,"1",2015-05-31,"Kaup Forage and Turf"
"94","Antelope11025A","Convolvulus arvensis","SP2Pellatz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2018-06-06,"*",2015-05-31,"Kaup Forage and Turf"
"95","Antelope11025A","Plantago patagonica","SP1Pellatz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,1,2018-06-06,"1",2015-05-31,"Kaup Forage and Turf"
"96","Antelope11025A","Physalis virginiana","SP2Pellatz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2018-06-06,"6",2015-05-31,"Kaup Forage and Turf"
"97","Antelope11025A","Conyza canadensis","SP2Pellatz",2,NA,2,NA,1,NA,3,NA,3,NA,4,NA,3,NA,2,NA,2,NA,3,NA,2,2018-06-06,"0",2015-05-31,"Kaup Forage and Turf"
"98","Antelope11025A","Schizachyrium scoparium","SP1Pellatz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,2018-06-06,"4",2015-05-31,"Kaup Forage and Turf"
"99","Antelope11025A","Chamaecrista fasciculata","SP1Pellatz",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,2018-06-06,"1",2015-05-31,"Kaup Forage and Turf"
"100","Antelope11025A","Triodanis perfoliata","SP2Pellatz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,2018-06-06,"2",2015-05-31,"Kaup Forage and Turf"
"101","Antelope11025A","Bare Ground","SP2Pellatz",4,NA,3,NA,3,NA,2,NA,2,NA,3,NA,5,NA,5,NA,5,NA,6,NA,2,2018-06-06,NA,2015-05-31,"Kaup Forage and Turf"
"102","Antelope11025A","Euphorbia dentata","SP2Pellatz",NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2018-06-06,"0",2015-05-31,"Kaup Forage and Turf"
"103","Antelope11025A","Andropogon gerardii","SP1Pellatz",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2018-06-06,"5",2015-05-31,"Kaup Forage and Turf"
"104","Antelope11025A","Bromus tectorum","SP1Pellatz",NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2018-06-06,"*",2015-05-31,"Kaup Forage and Turf"
"105","Antelope11025A","Bare Ground","SP1Pellatz",5,NA,4,NA,4,NA,4,NA,3,NA,5,NA,5,NA,5,NA,3,NA,3,NA,1,2018-06-06,NA,2015-05-31,"Kaup Forage and Turf"
"106","Antelope11025A","Chloris verticillata","SP2Pellatz",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2018-06-06,"0",2015-05-31,"Kaup Forage and Turf"
"107","Antelope11025A","Litter","SP1Pellatz",2,NA,2,NA,2,NA,3,NA,3,NA,2,NA,2,NA,2,NA,3,NA,2,NA,1,2018-06-06,NA,2015-05-31,"Kaup Forage and Turf"
"108","Antelope11025A","Schizachyrium scoparium","SP2Pellatz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2018-06-06,"4",2015-05-31,"Kaup Forage and Turf"
"109","Antelope11025A","Cyperus schwinitzii","SP1Pellatz",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2018-06-06,"4",2015-05-31,"Kaup Forage and Turf"
"110","Antelope11025A","Heterotheca subaxillaris","SP1Pellatz",3,NA,4,NA,4,NA,3,NA,5,NA,3,NA,3,NA,3,NA,3,NA,2,NA,1,2018-06-06,"2",2015-05-31,"Kaup Forage and Turf"
"111","Antelope11025A","Bromus tectorum","SP2Pellatz",NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2018-06-06,"*",2015-05-31,"Kaup Forage and Turf"
"112","Antelope11025A","Juniperus virginiana","SP1Pellatz",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2018-06-06,"1",2015-05-31,"Kaup Forage and Turf"
"113","Antelope11025A","Lepidium densiflorum","SP1Pellatz",NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2018-06-06,"0",2015-05-31,"Kaup Forage and Turf"
"114","Antelope11025A","Lepidium densiflorum","SP2Pellatz",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2018-06-06,"0",2015-05-31,"Kaup Forage and Turf"
