"","Field ID","Species","Visit ID","Q1","Q1FC","Q2","Q2FC","Q3","Q3FC","Q4","Q4FC","Q5","Q5FC","Q6","Q6FC","Q7","Q7FC","Q8","Q8FC","Q9","Q9FC","Q10","Q10FC","Transect","Date","Observer","Surrounding Landscape","Notes","Coefficient of Conservatism","Common Name","Region","Field acres","County","Planted Date","Planting method","# of species planted","Pure Live Seed lbs/acre","Previous cover","Seed Vendor","Established"
"12","Antelope11001","Bromus inermis","SP2Fulton1.9",2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,6,NA,1,NA,2,NA,2,2018-06-05,"RP","N-Bromus inermis roadside, E-irrigated corn, S-irrigated corn, W-Planted tree/shrub row and older tree lot","DID NOT FALL SURVEY - FAIL - bottomland lots of litter accumulation","*","smooth brome","NE",1.9,"Antelope",2015-05-09,"Drill","40","1.69","Harvested crop stubble","The Seed House- same mix as Antelope11002","Failure"
"13","Antelope11001","Plantago patagonica","SP1Fulton1.9",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2018-06-05,"RP","N-tree/shrub rows with Bromus inermis and Securigera varia understory, E-same tree/row and irrigated corn, S-irrigated corn, W-same tree/shrub row","DID NOT FALL SURVEY -FAIL This side had ok establishment but invading issues, larger east side with transect 2 was complete fail","1","woolly plantain","NE",1.9,"Antelope",2015-05-09,"Drill","40","1.69","Harvested crop stubble","The Seed House- same mix as Antelope11002","Failure"
"14","Antelope11001","Koeleria macrantha","SP1Fulton1.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,2018-06-05,"RP","N-tree/shrub rows with Bromus inermis and Securigera varia understory, E-same tree/row and irrigated corn, S-irrigated corn, W-same tree/shrub row","DID NOT FALL SURVEY -FAIL This side had ok establishment but invading issues, larger east side with transect 2 was complete fail","6","Junegrass","NE",1.9,"Antelope",2015-05-09,"Drill","40","1.69","Harvested crop stubble","The Seed House- same mix as Antelope11002","Failure"
"15","Antelope11001","Bare Ground","SP2Fulton1.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2018-06-05,"RP","N-Bromus inermis roadside, E-irrigated corn, S-irrigated corn, W-Planted tree/shrub row and older tree lot","DID NOT FALL SURVEY - FAIL - bottomland lots of litter accumulation",NA,NA,"NE",1.9,"Antelope",2015-05-09,"Drill","40","1.69","Harvested crop stubble","The Seed House- same mix as Antelope11002","Failure"
"16","Antelope11001","Achillea millefolium","SP1Fulton1.9",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2018-06-05,"RP","N-tree/shrub rows with Bromus inermis and Securigera varia understory, E-same tree/row and irrigated corn, S-irrigated corn, W-same tree/shrub row","DID NOT FALL SURVEY -FAIL This side had ok establishment but invading issues, larger east side with transect 2 was complete fail","2","western yarrow","NE",1.9,"Antelope",2015-05-09,"Drill","40","1.69","Harvested crop stubble","The Seed House- same mix as Antelope11002","Failure"
"17","Antelope11001","Andropogon gerardii","SP2Fulton1.9",NA,NA,NA,NA,1,NA,NA,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,3,NA,2,2018-06-05,"RP","N-Bromus inermis roadside, E-irrigated corn, S-irrigated corn, W-Planted tree/shrub row and older tree lot","DID NOT FALL SURVEY - FAIL - bottomland lots of litter accumulation","5","big bluestem","NE",1.9,"Antelope",2015-05-09,"Drill","40","1.69","Harvested crop stubble","The Seed House- same mix as Antelope11002","Failure"
"18","Antelope11001","Gaillardia sp.","SP2Fulton1.9",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,2018-06-05,"RP","N-Bromus inermis roadside, E-irrigated corn, S-irrigated corn, W-Planted tree/shrub row and older tree lot","DID NOT FALL SURVEY - FAIL - bottomland lots of litter accumulation",NA,NA,"NE",1.9,"Antelope",2015-05-09,"Drill","40","1.69","Harvested crop stubble","The Seed House- same mix as Antelope11002","Failure"
"19","Antelope11001","Medicago sativa","SP2Fulton1.9",NA,NA,2,NA,2,NA,1,NA,NA,NA,NA,NA,3,NA,NA,NA,2,NA,2,NA,2,2018-06-05,"RP","N-Bromus inermis roadside, E-irrigated corn, S-irrigated corn, W-Planted tree/shrub row and older tree lot","DID NOT FALL SURVEY - FAIL - bottomland lots of litter accumulation","*","alfalfa","NE",1.9,"Antelope",2015-05-09,"Drill","40","1.69","Harvested crop stubble","The Seed House- same mix as Antelope11002","Failure"
"20","Antelope11001","Bromus inermis","SP1Fulton1.9",1,NA,1,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,1,2018-06-05,"RP","N-tree/shrub rows with Bromus inermis and Securigera varia understory, E-same tree/row and irrigated corn, S-irrigated corn, W-same tree/shrub row","DID NOT FALL SURVEY -FAIL This side had ok establishment but invading issues, larger east side with transect 2 was complete fail","*","smooth brome","NE",1.9,"Antelope",2015-05-09,"Drill","40","1.69","Harvested crop stubble","The Seed House- same mix as Antelope11002","Failure"
"21","Antelope11001","Schizachyrium scoparium","SP1Fulton1.9",3,NA,3,NA,NA,NA,2,NA,NA,NA,3,NA,NA,NA,2,NA,1,NA,NA,NA,1,2018-06-05,"RP","N-tree/shrub rows with Bromus inermis and Securigera varia understory, E-same tree/row and irrigated corn, S-irrigated corn, W-same tree/shrub row","DID NOT FALL SURVEY -FAIL This side had ok establishment but invading issues, larger east side with transect 2 was complete fail","4","little bluestem","NE",1.9,"Antelope",2015-05-09,"Drill","40","1.69","Harvested crop stubble","The Seed House- same mix as Antelope11002","Failure"
"22","Antelope11001","Phleum pratense","SP1Fulton1.9",NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,3,NA,NA,NA,2,NA,NA,NA,1,2018-06-05,"RP","N-tree/shrub rows with Bromus inermis and Securigera varia understory, E-same tree/row and irrigated corn, S-irrigated corn, W-same tree/shrub row","DID NOT FALL SURVEY -FAIL This side had ok establishment but invading issues, larger east side with transect 2 was complete fail","*","timothy","NE",1.9,"Antelope",2015-05-09,"Drill","40","1.69","Harvested crop stubble","The Seed House- same mix as Antelope11002","Failure"
"23","Antelope11001","Litter","SP2Fulton1.9",6,NA,6,NA,6,NA,6,NA,6,NA,6,NA,6,NA,6,NA,6,NA,6,NA,2,2018-06-05,"RP","N-Bromus inermis roadside, E-irrigated corn, S-irrigated corn, W-Planted tree/shrub row and older tree lot","DID NOT FALL SURVEY - FAIL - bottomland lots of litter accumulation",NA,NA,"NE",1.9,"Antelope",2015-05-09,"Drill","40","1.69","Harvested crop stubble","The Seed House- same mix as Antelope11002","Failure"
"24","Antelope11001","Conyza canadensis","SP2Fulton1.9",NA,NA,NA,NA,1,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,2018-06-05,"RP","N-Bromus inermis roadside, E-irrigated corn, S-irrigated corn, W-Planted tree/shrub row and older tree lot","DID NOT FALL SURVEY - FAIL - bottomland lots of litter accumulation","0","horseweed","NE",1.9,"Antelope",2015-05-09,"Drill","40","1.69","Harvested crop stubble","The Seed House- same mix as Antelope11002","Failure"
"25","Antelope11001","Ulmus pumila","SP2Fulton1.9",NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2018-06-05,"RP","N-Bromus inermis roadside, E-irrigated corn, S-irrigated corn, W-Planted tree/shrub row and older tree lot","DID NOT FALL SURVEY - FAIL - bottomland lots of litter accumulation","*","Siberian elm","NE",1.9,"Antelope",2015-05-09,"Drill","40","1.69","Harvested crop stubble","The Seed House- same mix as Antelope11002","Failure"
"26","Antelope11001","Conyza canadensis","SP1Fulton1.9",2,NA,NA,NA,2,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,1,2018-06-05,"RP","N-tree/shrub rows with Bromus inermis and Securigera varia understory, E-same tree/row and irrigated corn, S-irrigated corn, W-same tree/shrub row","DID NOT FALL SURVEY -FAIL This side had ok establishment but invading issues, larger east side with transect 2 was complete fail","0","horseweed","NE",1.9,"Antelope",2015-05-09,"Drill","40","1.69","Harvested crop stubble","The Seed House- same mix as Antelope11002","Failure"
"27","Antelope11001","Heliopsis helianthoides","SP1Fulton1.9",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2018-06-05,"RP","N-tree/shrub rows with Bromus inermis and Securigera varia understory, E-same tree/row and irrigated corn, S-irrigated corn, W-same tree/shrub row","DID NOT FALL SURVEY -FAIL This side had ok establishment but invading issues, larger east side with transect 2 was complete fail","4","false-sunflower","NE",1.9,"Antelope",2015-05-09,"Drill","40","1.69","Harvested crop stubble","The Seed House- same mix as Antelope11002","Failure"
"28","Antelope11001","Helianthus maximiliani","SP2Fulton1.9",NA,NA,1,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,2,2018-06-05,"RP","N-Bromus inermis roadside, E-irrigated corn, S-irrigated corn, W-Planted tree/shrub row and older tree lot","DID NOT FALL SURVEY - FAIL - bottomland lots of litter accumulation","4","Maximilian's sunflower","NE",1.9,"Antelope",2015-05-09,"Drill","40","1.69","Harvested crop stubble","The Seed House- same mix as Antelope11002","Failure"
"29","Antelope11001","Andropogon gerardii","SP1Fulton1.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,2018-06-05,"RP","N-tree/shrub rows with Bromus inermis and Securigera varia understory, E-same tree/row and irrigated corn, S-irrigated corn, W-same tree/shrub row","DID NOT FALL SURVEY -FAIL This side had ok establishment but invading issues, larger east side with transect 2 was complete fail","5","big bluestem","NE",1.9,"Antelope",2015-05-09,"Drill","40","1.69","Harvested crop stubble","The Seed House- same mix as Antelope11002","Failure"
"30","Antelope11001","Lepidium densiflorum","SP1Fulton1.9",NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,2018-06-05,"RP","N-tree/shrub rows with Bromus inermis and Securigera varia understory, E-same tree/row and irrigated corn, S-irrigated corn, W-same tree/shrub row","DID NOT FALL SURVEY -FAIL This side had ok establishment but invading issues, larger east side with transect 2 was complete fail","0","prairie pepper-grass","NE",1.9,"Antelope",2015-05-09,"Drill","40","1.69","Harvested crop stubble","The Seed House- same mix as Antelope11002","Failure"
"31","Antelope11001","Schizachyrium scoparium","SP2Fulton1.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2018-06-05,"RP","N-Bromus inermis roadside, E-irrigated corn, S-irrigated corn, W-Planted tree/shrub row and older tree lot","DID NOT FALL SURVEY - FAIL - bottomland lots of litter accumulation","4","little bluestem","NE",1.9,"Antelope",2015-05-09,"Drill","40","1.69","Harvested crop stubble","The Seed House- same mix as Antelope11002","Failure"
"32","Antelope11001","Pascopyrum smithii","SP1Fulton1.9",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2018-06-05,"RP","N-tree/shrub rows with Bromus inermis and Securigera varia understory, E-same tree/row and irrigated corn, S-irrigated corn, W-same tree/shrub row","DID NOT FALL SURVEY -FAIL This side had ok establishment but invading issues, larger east side with transect 2 was complete fail","3","western wheatgrass","NE",1.9,"Antelope",2015-05-09,"Drill","40","1.69","Harvested crop stubble","The Seed House- same mix as Antelope11002","Failure"
"33","Antelope11001","Securigera varia","SP1Fulton1.9",2,1,NA,NA,NA,NA,1,1,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,2018-06-05,"RP","N-tree/shrub rows with Bromus inermis and Securigera varia understory, E-same tree/row and irrigated corn, S-irrigated corn, W-same tree/shrub row","DID NOT FALL SURVEY -FAIL This side had ok establishment but invading issues, larger east side with transect 2 was complete fail","*","crown-vetch","NE",1.9,"Antelope",2015-05-09,"Drill","40","1.69","Harvested crop stubble","The Seed House- same mix as Antelope11002","Failure"
"34","Antelope11001","Rudbeckia hirta","SP1Fulton1.9",1,NA,1,NA,2,NA,2,NA,NA,NA,1,NA,2,NA,NA,NA,1,NA,NA,NA,1,2018-06-05,"RP","N-tree/shrub rows with Bromus inermis and Securigera varia understory, E-same tree/row and irrigated corn, S-irrigated corn, W-same tree/shrub row","DID NOT FALL SURVEY -FAIL This side had ok establishment but invading issues, larger east side with transect 2 was complete fail","4","black-eyed Susan","NE",1.9,"Antelope",2015-05-09,"Drill","40","1.69","Harvested crop stubble","The Seed House- same mix as Antelope11002","Failure"
"35","Antelope11002","Litter","SP2Fulton",6,NA,6,NA,6,NA,6,NA,6,NA,6,NA,6,NA,6,NA,6,NA,6,NA,2,2018-06-05,"RP","same as SP1Fulton","DID NOT FALL SURVEY - FAIL",NA,NA,"NE",3.1,"Antelope",2015-05-09,"Drill","40","1.69","Harvested crop stubble","The Seed House","Failure"
"36","Antelope11002","Achillea millefolium","SP2Fulton",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,2018-06-05,"RP","same as SP1Fulton","DID NOT FALL SURVEY - FAIL","2","western yarrow","NE",3.1,"Antelope",2015-05-09,"Drill","40","1.69","Harvested crop stubble","The Seed House","Failure"
"37","Antelope11002","Trifolium pratense","SP2Fulton",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2018-06-05,"RP","same as SP1Fulton","DID NOT FALL SURVEY - FAIL","*","red clover","NE",3.1,"Antelope",2015-05-09,"Drill","40","1.69","Harvested crop stubble","The Seed House","Failure"
"38","Antelope11002","Bare Ground","SP2Fulton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2018-06-05,"RP","same as SP1Fulton","DID NOT FALL SURVEY - FAIL",NA,NA,"NE",3.1,"Antelope",2015-05-09,"Drill","40","1.69","Harvested crop stubble","The Seed House","Failure"
"39","Antelope11002","Phleum pratense","SP1Fulton",4,NA,3,NA,4,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2018-06-05,"RP","N-tree/shrub rows with Bromus inermis understory, E- irrigated row crop, S-irrigated row crop, W- fenceline- grass pasture with red cedar skeletons","DID NOT FALL SURVEY - FAIL","*","timothy","NE",3.1,"Antelope",2015-05-09,"Drill","40","1.69","Harvested crop stubble","The Seed House","Failure"
"40","Antelope11002","Heliopsis helianthoides","SP2Fulton",1,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,2018-06-05,"RP","same as SP1Fulton","DID NOT FALL SURVEY - FAIL","4","false-sunflower","NE",3.1,"Antelope",2015-05-09,"Drill","40","1.69","Harvested crop stubble","The Seed House","Failure"
"41","Antelope11002","Bromus inermis","SP2Fulton",2,NA,2,NA,2,NA,2,NA,2,NA,3,NA,2,NA,3,NA,6,NA,1,NA,2,2018-06-05,"RP","same as SP1Fulton","DID NOT FALL SURVEY - FAIL","*","smooth brome","NE",3.1,"Antelope",2015-05-09,"Drill","40","1.69","Harvested crop stubble","The Seed House","Failure"
"42","Antelope11002","Medicago sativa","SP2Fulton",NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,2,2018-06-05,"RP","same as SP1Fulton","DID NOT FALL SURVEY - FAIL","*","alfalfa","NE",3.1,"Antelope",2015-05-09,"Drill","40","1.69","Harvested crop stubble","The Seed House","Failure"
"43","Antelope11002","Bare Ground","SP1Fulton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2018-06-05,"RP","N-tree/shrub rows with Bromus inermis understory, E- irrigated row crop, S-irrigated row crop, W- fenceline- grass pasture with red cedar skeletons","DID NOT FALL SURVEY - FAIL",NA,NA,"NE",3.1,"Antelope",2015-05-09,"Drill","40","1.69","Harvested crop stubble","The Seed House","Failure"
"44","Antelope11002","Taraxacum officinale","SP2Fulton",1,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,2,2018-06-05,"RP","same as SP1Fulton","DID NOT FALL SURVEY - FAIL","*","common dandelion","NE",3.1,"Antelope",2015-05-09,"Drill","40","1.69","Harvested crop stubble","The Seed House","Failure"
"45","Antelope11002","Litter","SP1Fulton",6,NA,6,NA,6,NA,6,NA,6,NA,6,NA,6,NA,6,NA,6,NA,6,NA,1,2018-06-05,"RP","N-tree/shrub rows with Bromus inermis understory, E- irrigated row crop, S-irrigated row crop, W- fenceline- grass pasture with red cedar skeletons","DID NOT FALL SURVEY - FAIL",NA,NA,"NE",3.1,"Antelope",2015-05-09,"Drill","40","1.69","Harvested crop stubble","The Seed House","Failure"
"46","Antelope11002","Bromus inermis","SP1Fulton",NA,NA,NA,NA,NA,NA,2,NA,3,NA,3,NA,3,NA,2,NA,1,NA,4,NA,1,2018-06-05,"RP","N-tree/shrub rows with Bromus inermis understory, E- irrigated row crop, S-irrigated row crop, W- fenceline- grass pasture with red cedar skeletons","DID NOT FALL SURVEY - FAIL","*","smooth brome","NE",3.1,"Antelope",2015-05-09,"Drill","40","1.69","Harvested crop stubble","The Seed House","Failure"
"47","Antelope11002","Lactuca serriola","SP2Fulton",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2018-06-05,"RP","same as SP1Fulton","DID NOT FALL SURVEY - FAIL","*","prickly lettuce","NE",3.1,"Antelope",2015-05-09,"Drill","40","1.69","Harvested crop stubble","The Seed House","Failure"
"48","Antelope11002","Helianthus maximiliani","SP2Fulton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,2018-06-05,"RP","same as SP1Fulton","DID NOT FALL SURVEY - FAIL","4","Maximilian's sunflower","NE",3.1,"Antelope",2015-05-09,"Drill","40","1.69","Harvested crop stubble","The Seed House","Failure"
"49","Antelope11002","Cirsium arvense","SP2Fulton",NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2018-06-05,"RP","same as SP1Fulton","DID NOT FALL SURVEY - FAIL","*","Canada thistle","NE",3.1,"Antelope",2015-05-09,"Drill","40","1.69","Harvested crop stubble","The Seed House","Failure"
"50","Antelope11002","Medicago sativa","SP1Fulton",2,NA,2,NA,2,NA,2,NA,3,NA,3,NA,4,NA,2,NA,5,NA,2,NA,1,2018-06-05,"RP","N-tree/shrub rows with Bromus inermis understory, E- irrigated row crop, S-irrigated row crop, W- fenceline- grass pasture with red cedar skeletons","DID NOT FALL SURVEY - FAIL","*","alfalfa","NE",3.1,"Antelope",2015-05-09,"Drill","40","1.69","Harvested crop stubble","The Seed House","Failure"
"51","Antelope11002","Achillea millefolium","SP1Fulton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,2018-06-05,"RP","N-tree/shrub rows with Bromus inermis understory, E- irrigated row crop, S-irrigated row crop, W- fenceline- grass pasture with red cedar skeletons","DID NOT FALL SURVEY - FAIL","2","western yarrow","NE",3.1,"Antelope",2015-05-09,"Drill","40","1.69","Harvested crop stubble","The Seed House","Failure"
"52","Antelope11002","Cirsium arvense","SP1Fulton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,2018-06-05,"RP","N-tree/shrub rows with Bromus inermis understory, E- irrigated row crop, S-irrigated row crop, W- fenceline- grass pasture with red cedar skeletons","DID NOT FALL SURVEY - FAIL","*","Canada thistle","NE",3.1,"Antelope",2015-05-09,"Drill","40","1.69","Harvested crop stubble","The Seed House","Failure"
"53","Antelope11005","Andropogon gerardii","SP1Knievel",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2018-06-06,"RP","N-Irrigated corn, E-Irrigated corn, S- Cottonwood tree line, W- weedy fenceline then irrigated corn","DID NOT FALL SURVEY - Pretty good shape, some weed issues, Securigera varia, Ambrosia trifida, Conyza canadensis","5","big bluestem","NE",4.6,"Antelope",2014-11-01,"Drill","44","1.784","Harvested corn stubble","Star Seed - Dealer - PF","Success"
"54","Antelope11005","Litter","SP1Knievel",6,NA,6,NA,6,NA,6,NA,6,NA,6,NA,6,NA,6,NA,5,NA,6,NA,1,2018-06-06,"RP","N-Irrigated corn, E-Irrigated corn, S- Cottonwood tree line, W- weedy fenceline then irrigated corn","DID NOT FALL SURVEY - Pretty good shape, some weed issues, Securigera varia, Ambrosia trifida, Conyza canadensis",NA,NA,"NE",4.6,"Antelope",2014-11-01,"Drill","44","1.784","Harvested corn stubble","Star Seed - Dealer - PF","Success"
