"SequenceID","FieldID","Species","VisitID","Transect","VisitDate","CoEOfConsvm","PlantedDate","SeedVendor","Quadrant","CoverValue"
"145","Antelope11025B","Andropogon gerardii","SP1Pellatz5.8",1,2018-06-06,"5",2015-05-31,"Kaup Forage and Turf-Same mix as Antelope11025A","Q1",NA
"146","Antelope11025B","Triodanis perfoliata","SP2Pellatz5.8",2,2018-06-06,"2",2015-05-31,"Kaup Forage and Turf-Same mix as Antelope11025A","Q1",NA
"148","Furnas1008","Ratibida pinnata","F3Schluntz14.84",3,2018-09-28,"4",NA,NA,"Q1",2
"150","Furnas1008","Ambrosia psilostachya","F3Schluntz14.84",3,2018-09-28,"1",NA,NA,"Q1",NA
"151","Furnas1008","Andropogon gerardii","F3Schluntz14.84",3,2018-09-28,"5",NA,NA,"Q1",NA
"153","Furnas1008","Rudbeckia hirta","F3Schluntz14.84",3,2018-09-28,"4",NA,NA,"Q1",NA
"154","Furnas1008","Schizachyrium scoparium","F3Schluntz14.84",3,2018-09-28,"4",NA,NA,"Q1",2
"155","Furnas1008","Helianthus maximiliani","F3Schluntz14.84",3,2018-09-28,"4",NA,NA,"Q1",1
"157","Furnas1008","Conyza canadensis","F3Schluntz14.84",3,2018-09-28,"0",NA,NA,"Q1",NA
"160","Furnas1008","Sorghastrum nutans","F3Schluntz14.84",3,2018-09-28,"5",NA,NA,"Q1",NA
"161","Furnas11006","Schizachyrium scoparium","SP1Schluntz",1,2018-05-30,"4",2015-03-26,"Star Seed - Dealer - PF","Q1",2
"162","Furnas11006","Ratibida pinnata","F1Schluntz",1,2018-09-28,"4",2015-03-26,"Star Seed - Dealer - PF","Q1",1
"163","Furnas11006","Andropogon gerardii","F1Schluntz",1,2018-09-28,"5",2015-03-26,"Star Seed - Dealer - PF","Q1",3
"164","Furnas11006","Euphorbia dentata","SP2Schluntz",2,2018-05-30,"0",2015-03-26,"Star Seed - Dealer - PF","Q1",NA
"166","Furnas11006","Euphorbia maculata","SP2Schluntz",2,2018-05-30,"0",2015-03-26,"Star Seed - Dealer - PF","Q1",NA
"169","Furnas11006","Ratibida pinnata","SP2Schluntz",2,2018-05-30,"4",2015-03-26,"Star Seed - Dealer - PF","Q1",NA
"171","Furnas11006","Conyza canadensis","F2Schluntz",2,2018-09-28,"0",2015-03-26,"Star Seed - Dealer - PF","Q1",NA
"173","Furnas11006","Schizachyrium scoparium","SP2Schluntz",2,2018-05-30,"4",2015-03-26,"Star Seed - Dealer - PF","Q1",NA
"174","Furnas11006","Salvia azurea","F1Schluntz",1,2018-09-28,"6",2015-03-26,"Star Seed - Dealer - PF","Q1",NA
"175","Furnas11006","Ratibida columnifera","SP1Schluntz",1,2018-05-30,"4",2015-03-26,"Star Seed - Dealer - PF","Q1",NA
"176","Furnas11006","Bouteloua gracilis","SP1Schluntz",1,2018-05-30,"4",2015-03-26,"Star Seed - Dealer - PF","Q1",NA
"178","Furnas11006","Andropogon gerardii","SP2Schluntz",2,2018-05-30,"5",2015-03-26,"Star Seed - Dealer - PF","Q1",2
"181","Furnas11006","Rudbeckia hirta","SP2Schluntz",2,2018-05-30,"4",2015-03-26,"Star Seed - Dealer - PF","Q1",NA
"182","Furnas11006","Bouteloua curtipendula","F1Schluntz",1,2018-09-28,"5",2015-03-26,"Star Seed - Dealer - PF","Q1",NA
"184","Furnas11006","Rudbeckia hirta","SP1Schluntz",1,2018-05-30,"4",2015-03-26,"Star Seed - Dealer - PF","Q1",2
"185","Furnas11006","Conyza canadensis","SP1Schluntz",1,2018-05-30,"0",2015-03-26,"Star Seed - Dealer - PF","Q1",NA
"186","Furnas11006","Ratibida pinnata","F2Schluntz",2,2018-09-28,"4",2015-03-26,"Star Seed - Dealer - PF","Q1",NA
"189","Furnas11006","Symphoricarpos occidentalis","F1Schluntz",1,2018-09-28,"2",2015-03-26,"Star Seed - Dealer - PF","Q1",NA
"190","Furnas11006","Ratibida pinnata","SP1Schluntz",1,2018-05-30,"4",2015-03-26,"Star Seed - Dealer - PF","Q1",NA
"191","Furnas11006","Rudbeckia hirta","F1Schluntz",1,2018-09-28,"4",2015-03-26,"Star Seed - Dealer - PF","Q1",NA
"194","Furnas11006","Achillea millefolium","SP1Schluntz",1,2018-05-30,"2",2015-03-26,"Star Seed - Dealer - PF","Q1",NA
"195","Furnas11006","Calystegia sepium","SP2Schluntz",2,2018-05-30,"1",2015-03-26,"Star Seed - Dealer - PF","Q1",2
"197","Furnas11006","Schizachyrium scoparium","F1Schluntz",1,2018-09-28,"4",2015-03-26,"Star Seed - Dealer - PF","Q1",1
"200","Furnas11006","Conyza canadensis","SP2Schluntz",2,2018-05-30,"0",2015-03-26,"Star Seed - Dealer - PF","Q1",2
"208","Furnas11008","Coreopsis tinctoria","SP1Schluntz14.84",1,2018-05-30,"1",2015-03-26,"Star Seed - Dealer - PF, same mix as Furnas11006","Q1",NA
"210","Furnas11008","Chamaecrista fasciculata","F1Schluntz14.84",1,2018-09-28,"1",2015-03-26,"Star Seed - Dealer - PF, same mix as Furnas11006","Q1",NA
"211","Furnas11008","Panicum virgatum","F2Schluntz14.84",2,2018-09-28,"4",2015-03-26,"Star Seed - Dealer - PF, same mix as Furnas11006","Q1",3
"213","Furnas11008","Schizachyrium scoparium","SP2Schluntz14.84",2,2018-05-30,"4",2015-03-26,"Star Seed - Dealer - PF, same mix as Furnas11006","Q1",NA
"214","Furnas11008","Helianthus annuus","F2Schluntz14.84",2,2018-09-28,"0",2015-03-26,"Star Seed - Dealer - PF, same mix as Furnas11006","Q1",NA
"216","Furnas11008","Conyza canadensis","SP1Schluntz14.84",1,2018-05-30,"0",2015-03-26,"Star Seed - Dealer - PF, same mix as Furnas11006","Q1",NA
"217","Furnas11008","Ratibida pinnata","SP3Schluntz14.84",3,2018-05-30,"4",2015-03-26,"Star Seed - Dealer - PF, same mix as Furnas11006","Q1",NA
"219","Furnas11008","Solidago canadensis","SP1Schluntz14.84",1,2018-05-30,"2",2015-03-26,"Star Seed - Dealer - PF, same mix as Furnas11006","Q1",NA
"220","Furnas11008","Sorghastrum nutans","F2Schluntz14.84",2,2018-09-28,"5",2015-03-26,"Star Seed - Dealer - PF, same mix as Furnas11006","Q1",NA
"223","Furnas11008","Sorghastrum nutans","SP1Schluntz14.84",1,2018-05-30,"5",2015-03-26,"Star Seed - Dealer - PF, same mix as Furnas11006","Q1",NA
"224","Furnas11008","Ambrosia artemisiifolia","F1Schluntz14.84",1,2018-09-28,"0",2015-03-26,"Star Seed - Dealer - PF, same mix as Furnas11006","Q1",1
"225","Furnas11008","Sporobolus compositus","SP2Schluntz14.84",2,2018-05-30,"3",2015-03-26,"Star Seed - Dealer - PF, same mix as Furnas11006","Q1",NA
"227","Furnas11008","Elymus canadensis","SP1Schluntz14.84",1,2018-05-30,"5",2015-03-26,"Star Seed - Dealer - PF, same mix as Furnas11006","Q1",NA
"228","Furnas11008","Helianthus annuus","SP1Schluntz14.84",1,2018-05-30,"0",2015-03-26,"Star Seed - Dealer - PF, same mix as Furnas11006","Q1",NA
"230","Furnas11008","Conyza canadensis","F2Schluntz14.84",2,2018-09-28,"0",2015-03-26,"Star Seed - Dealer - PF, same mix as Furnas11006","Q1",NA
"232","Furnas11008","Conyza canadensis","SP2Schluntz14.84",2,2018-05-30,"0",2015-03-26,"Star Seed - Dealer - PF, same mix as Furnas11006","Q1",6
"234","Furnas11008","Rudbeckia hirta","F1Schluntz14.84",1,2018-09-28,"4",2015-03-26,"Star Seed - Dealer - PF, same mix as Furnas11006","Q1",3
"235","Furnas11008","Ambrosia trifida","SP2Schluntz14.84",2,2018-05-30,"0",2015-03-26,"Star Seed - Dealer - PF, same mix as Furnas11006","Q1",NA
"237","Furnas11008","Ratibida pinnata","SP1Schluntz14.84",1,2018-05-30,"4",2015-03-26,"Star Seed - Dealer - PF, same mix as Furnas11006","Q1",NA
"238","Furnas11008","Asclepias syriaca","SP1Schluntz14.84",1,2018-05-30,"1",2015-03-26,"Star Seed - Dealer - PF, same mix as Furnas11006","Q1",NA
"239","Furnas11008","Schizachyrium scoparium","F1Schluntz14.84",1,2018-09-28,"4",2015-03-26,"Star Seed - Dealer - PF, same mix as Furnas11006","Q1",NA
"240","Furnas11008","Schizachyrium scoparium","F2Schluntz14.84",2,2018-09-28,"4",2015-03-26,"Star Seed - Dealer - PF, same mix as Furnas11006","Q1",NA
"241","Furnas11008","Ambrosia psilostachya","F2Schluntz14.84",2,2018-09-28,"1",2015-03-26,"Star Seed - Dealer - PF, same mix as Furnas11006","Q1",NA
"244","Furnas11008","Oxalis stricta","F1Schluntz14.84",1,2018-09-28,"0",2015-03-26,"Star Seed - Dealer - PF, same mix as Furnas11006","Q1",NA
"245","Furnas11008","Monarda fistulosa","SP3Schluntz14.84",3,2018-05-30,"4",2015-03-26,"Star Seed - Dealer - PF, same mix as Furnas11006","Q1",NA
"247","Furnas11008","Ratibida pinnata","SP2Schluntz14.84",2,2018-05-30,"4",2015-03-26,"Star Seed - Dealer - PF, same mix as Furnas11006","Q1",NA
"249","Furnas11008","Rudbeckia hirta","SP3Schluntz14.84",3,2018-05-30,"4",2015-03-26,"Star Seed - Dealer - PF, same mix as Furnas11006","Q1",2
"250","Furnas11008","Ratibida pinnata","F2Schluntz14.84",2,2018-09-28,"4",2015-03-26,"Star Seed - Dealer - PF, same mix as Furnas11006","Q1",3
"251","Furnas11008","Pascopyrum smithii","SP3Schluntz14.84",3,2018-05-30,"3",2015-03-26,"Star Seed - Dealer - PF, same mix as Furnas11006","Q1",1
"252","Furnas11008","Bouteloua curtipendula","F1Schluntz14.84",1,2018-09-28,"5",2015-03-26,"Star Seed - Dealer - PF, same mix as Furnas11006","Q1",3
"254","Furnas11008","Ambrosia psilostachya","F1Schluntz14.84",1,2018-09-28,"1",2015-03-26,"Star Seed - Dealer - PF, same mix as Furnas11006","Q1",NA
"255","Furnas11008","Verbena stricta","F2Schluntz14.84",2,2018-09-28,"2",2015-03-26,"Star Seed - Dealer - PF, same mix as Furnas11006","Q1",NA
"257","Furnas11008","Monarda fistulosa","F2Schluntz14.84",2,2018-09-28,"4",2015-03-26,"Star Seed - Dealer - PF, same mix as Furnas11006","Q1",NA
"258","Furnas11008","Conyza canadensis","SP3Schluntz14.84",3,2018-05-30,"0",2015-03-26,"Star Seed - Dealer - PF, same mix as Furnas11006","Q1",1
"260","Furnas11008","Schizachyrium scoparium","SP1Schluntz14.84",1,2018-05-30,"4",2015-03-26,"Star Seed - Dealer - PF, same mix as Furnas11006","Q1",NA
"261","Furnas11008","Salvia azurea","F1Schluntz14.84",1,2018-09-28,"6",2015-03-26,"Star Seed - Dealer - PF, same mix as Furnas11006","Q1",NA
"262","Furnas11008","Schizachyrium scoparium","SP3Schluntz14.84",3,2018-05-30,"4",2015-03-26,"Star Seed - Dealer - PF, same mix as Furnas11006","Q1",2
"264","Furnas11008","Sorghastrum nutans","SP3Schluntz14.84",3,2018-05-30,"5",2015-03-26,"Star Seed - Dealer - PF, same mix as Furnas11006","Q1",NA
"266","Furnas11008","Monarda fistulosa","SP2Schluntz14.84",2,2018-05-30,"4",2015-03-26,"Star Seed - Dealer - PF, same mix as Furnas11006","Q1",NA
"267","Furnas11008","Urtica dioca","SP2Schluntz14.84",2,2018-05-30,"1",2015-03-26,"Star Seed - Dealer - PF, same mix as Furnas11006","Q1",NA
"268","Furnas11008","Elymus canadensis","SP3Schluntz14.84",3,2018-05-30,"5",2015-03-26,"Star Seed - Dealer - PF, same mix as Furnas11006","Q1",1
"269","Furnas11008","Ratibida pinnata","F1Schluntz14.84",1,2018-09-28,"4",2015-03-26,"Star Seed - Dealer - PF, same mix as Furnas11006","Q1",NA
"273","Furnas11008","Helianthus annuus","SP3Schluntz14.84",3,2018-05-30,"0",2015-03-26,"Star Seed - Dealer - PF, same mix as Furnas11006","Q1",1
"274","Furnas11008","Andropogon gerardii","F2Schluntz14.84",2,2018-09-28,"5",2015-03-26,"Star Seed - Dealer - PF, same mix as Furnas11006","Q1",NA
"278","Furnas11008","Monarda fistulosa","F1Schluntz14.84",1,2018-09-28,"4",2015-03-26,"Star Seed - Dealer - PF, same mix as Furnas11006","Q1",NA
"282","Gage11018A","Pycnanthemum virginianum","SP1Fossler",1,2018-06-12,"6",NA,NA,"Q1",NA
"283","Gage11018A","Solanum carolinense","SP2Fossler",2,2018-06-12,"2",NA,NA,"Q1",NA
"284","Gage11018A","Bouteloua curtipendula","F1Fossler",1,2018-10-23,"5",NA,NA,"Q1",2
"286","Gage11018A","Ratibida columnifera","SP1Fossler",1,2018-06-12,"4",NA,NA,"Q1",1
"287","Gage11018A","Bouteloua curtipendula","F2Fossler",2,2018-10-23,"5",NA,NA,"Q1",2
"288","Gage11018A","Conyza canadensis","SP2Fossler",2,2018-06-12,"0",NA,NA,"Q1",3
"289","Gage11018A","Asclepias syriaca","SP1Fossler",1,2018-06-12,"1",NA,NA,"Q1",NA
"290","Gage11018A","Conyza canadensis","SP1Fossler",1,2018-06-12,"0",NA,NA,"Q1",NA
"292","Gage11018A","Ambrosia trifida","SP1Fossler",1,2018-06-12,"0",NA,NA,"Q1",NA
"293","Gage11018A","Chamaecrista fasciculata","SP2Fossler",2,2018-06-12,"1",NA,NA,"Q1",NA
"294","Gage11018A","Ambrosia trifida","SP2Fossler",2,2018-06-12,"0",NA,NA,"Q1",NA
"295","Gage11018A","Juniperus virginiana","F1Fossler",1,2018-10-23,"1",NA,NA,"Q1",NA
"298","Gage11018A","Zizia aurea","F1Fossler",1,2018-10-23,"6",NA,NA,"Q1",NA
"299","Gage11018A","Chamaecrista fasciculata","SP1Fossler",1,2018-06-12,"1",NA,NA,"Q1",NA
"300","Gage11018A","Erigeron annuus","SP2Fossler",2,2018-06-12,"1",NA,NA,"Q1",1
"301","Gage11018A","Lactuca ludoviciana","SP2Fossler",2,2018-06-12,"3",NA,NA,"Q1",NA
"302","Gage11018A","Solidago canadensis","F2Fossler",2,2018-10-23,"2",NA,NA,"Q1",1
"303","Gage11018A","Lactuca ludoviciana","SP1Fossler",1,2018-06-12,"3",NA,NA,"Q1",2
"305","Gage11018A","Schizachyrium scoparium","F2Fossler",2,2018-10-23,"4",NA,NA,"Q1",NA
"307","Gage11018A","Solidago canadensis","SP1Fossler",1,2018-06-12,"2",NA,NA,"Q1",2
