"","Field ID","Species","Visit ID","Q1","Q1FC","Q2","Q2FC","Q3","Q3FC","Q4","Q4FC","Q5","Q5FC","Q6","Q6FC","Q7","Q7FC","Q8","Q8FC","Q9","Q9FC","Q10","Q10FC","Transect","Date","Coefficient of Conservatism","Planted Date","Seed Vendor","Established"
"11","Antelope11001","Ulmus americana","SP2Fulton1.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,2018-06-05,"3",2015-05-09,"The Seed House- same mix as Antelope11002","Failure"
"12","Antelope11001","Bromus inermis","SP2Fulton1.9",2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,6,NA,1,NA,2,NA,2,2018-06-05,"*",2015-05-09,"The Seed House- same mix as Antelope11002","Failure"
"13","Antelope11001","Plantago patagonica","SP1Fulton1.9",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2018-06-05,"1",2015-05-09,"The Seed House- same mix as Antelope11002","Failure"
"14","Antelope11001","Koeleria macrantha","SP1Fulton1.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,2018-06-05,"6",2015-05-09,"The Seed House- same mix as Antelope11002","Failure"
"15","Antelope11001","Bare Ground","SP2Fulton1.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2018-06-05,NA,2015-05-09,"The Seed House- same mix as Antelope11002","Failure"
"16","Antelope11001","Achillea millefolium","SP1Fulton1.9",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2018-06-05,"2",2015-05-09,"The Seed House- same mix as Antelope11002","Failure"
"17","Antelope11001","Andropogon gerardii","SP2Fulton1.9",NA,NA,NA,NA,1,NA,NA,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,3,NA,2,2018-06-05,"5",2015-05-09,"The Seed House- same mix as Antelope11002","Failure"
"18","Antelope11001","Gaillardia sp.","SP2Fulton1.9",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,2018-06-05,NA,2015-05-09,"The Seed House- same mix as Antelope11002","Failure"
"19","Antelope11001","Medicago sativa","SP2Fulton1.9",NA,NA,2,NA,2,NA,1,NA,NA,NA,NA,NA,3,NA,NA,NA,2,NA,2,NA,2,2018-06-05,"*",2015-05-09,"The Seed House- same mix as Antelope11002","Failure"
"20","Antelope11001","Bromus inermis","SP1Fulton1.9",1,NA,1,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,1,2018-06-05,"*",2015-05-09,"The Seed House- same mix as Antelope11002","Failure"
"21","Antelope11001","Schizachyrium scoparium","SP1Fulton1.9",3,NA,3,NA,NA,NA,2,NA,NA,NA,3,NA,NA,NA,2,NA,1,NA,NA,NA,1,2018-06-05,"4",2015-05-09,"The Seed House- same mix as Antelope11002","Failure"
"22","Antelope11001","Phleum pratense","SP1Fulton1.9",NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,3,NA,NA,NA,2,NA,NA,NA,1,2018-06-05,"*",2015-05-09,"The Seed House- same mix as Antelope11002","Failure"
"23","Antelope11001","Litter","SP2Fulton1.9",6,NA,6,NA,6,NA,6,NA,6,NA,6,NA,6,NA,6,NA,6,NA,6,NA,2,2018-06-05,NA,2015-05-09,"The Seed House- same mix as Antelope11002","Failure"
"24","Antelope11001","Conyza canadensis","SP2Fulton1.9",NA,NA,NA,NA,1,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,2018-06-05,"0",2015-05-09,"The Seed House- same mix as Antelope11002","Failure"
"25","Antelope11001","Ulmus pumila","SP2Fulton1.9",NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2018-06-05,"*",2015-05-09,"The Seed House- same mix as Antelope11002","Failure"
"26","Antelope11001","Conyza canadensis","SP1Fulton1.9",2,NA,NA,NA,2,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,1,2018-06-05,"0",2015-05-09,"The Seed House- same mix as Antelope11002","Failure"
"27","Antelope11001","Heliopsis helianthoides","SP1Fulton1.9",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2018-06-05,"4",2015-05-09,"The Seed House- same mix as Antelope11002","Failure"
"28","Antelope11001","Helianthus maximiliani","SP2Fulton1.9",NA,NA,1,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,2,2018-06-05,"4",2015-05-09,"The Seed House- same mix as Antelope11002","Failure"
"29","Antelope11001","Andropogon gerardii","SP1Fulton1.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,2018-06-05,"5",2015-05-09,"The Seed House- same mix as Antelope11002","Failure"
"30","Antelope11001","Lepidium densiflorum","SP1Fulton1.9",NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,2018-06-05,"0",2015-05-09,"The Seed House- same mix as Antelope11002","Failure"
"31","Antelope11001","Schizachyrium scoparium","SP2Fulton1.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2018-06-05,"4",2015-05-09,"The Seed House- same mix as Antelope11002","Failure"
"32","Antelope11001","Pascopyrum smithii","SP1Fulton1.9",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2018-06-05,"3",2015-05-09,"The Seed House- same mix as Antelope11002","Failure"
"33","Antelope11001","Securigera varia","SP1Fulton1.9",2,1,NA,NA,NA,NA,1,1,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,2018-06-05,"*",2015-05-09,"The Seed House- same mix as Antelope11002","Failure"
"34","Antelope11001","Rudbeckia hirta","SP1Fulton1.9",1,NA,1,NA,2,NA,2,NA,NA,NA,1,NA,2,NA,NA,NA,1,NA,NA,NA,1,2018-06-05,"4",2015-05-09,"The Seed House- same mix as Antelope11002","Failure"
"35","Antelope11002","Litter","SP2Fulton",6,NA,6,NA,6,NA,6,NA,6,NA,6,NA,6,NA,6,NA,6,NA,6,NA,2,2018-06-05,NA,2015-05-09,"The Seed House","Failure"
"36","Antelope11002","Achillea millefolium","SP2Fulton",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,2018-06-05,"2",2015-05-09,"The Seed House","Failure"
"37","Antelope11002","Trifolium pratense","SP2Fulton",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2018-06-05,"*",2015-05-09,"The Seed House","Failure"
"38","Antelope11002","Bare Ground","SP2Fulton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2018-06-05,NA,2015-05-09,"The Seed House","Failure"
"39","Antelope11002","Phleum pratense","SP1Fulton",4,NA,3,NA,4,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2018-06-05,"*",2015-05-09,"The Seed House","Failure"
"40","Antelope11002","Heliopsis helianthoides","SP2Fulton",1,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,2018-06-05,"4",2015-05-09,"The Seed House","Failure"
"41","Antelope11002","Bromus inermis","SP2Fulton",2,NA,2,NA,2,NA,2,NA,2,NA,3,NA,2,NA,3,NA,6,NA,1,NA,2,2018-06-05,"*",2015-05-09,"The Seed House","Failure"
"42","Antelope11002","Medicago sativa","SP2Fulton",NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,2,2018-06-05,"*",2015-05-09,"The Seed House","Failure"
"43","Antelope11002","Bare Ground","SP1Fulton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2018-06-05,NA,2015-05-09,"The Seed House","Failure"
"44","Antelope11002","Taraxacum officinale","SP2Fulton",1,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,2,2018-06-05,"*",2015-05-09,"The Seed House","Failure"
"45","Antelope11002","Litter","SP1Fulton",6,NA,6,NA,6,NA,6,NA,6,NA,6,NA,6,NA,6,NA,6,NA,6,NA,1,2018-06-05,NA,2015-05-09,"The Seed House","Failure"
"46","Antelope11002","Bromus inermis","SP1Fulton",NA,NA,NA,NA,NA,NA,2,NA,3,NA,3,NA,3,NA,2,NA,1,NA,4,NA,1,2018-06-05,"*",2015-05-09,"The Seed House","Failure"
"47","Antelope11002","Lactuca serriola","SP2Fulton",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2018-06-05,"*",2015-05-09,"The Seed House","Failure"
"48","Antelope11002","Helianthus maximiliani","SP2Fulton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,2018-06-05,"4",2015-05-09,"The Seed House","Failure"
"49","Antelope11002","Cirsium arvense","SP2Fulton",NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2018-06-05,"*",2015-05-09,"The Seed House","Failure"
"50","Antelope11002","Medicago sativa","SP1Fulton",2,NA,2,NA,2,NA,2,NA,3,NA,3,NA,4,NA,2,NA,5,NA,2,NA,1,2018-06-05,"*",2015-05-09,"The Seed House","Failure"
"51","Antelope11002","Achillea millefolium","SP1Fulton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,2018-06-05,"2",2015-05-09,"The Seed House","Failure"
"52","Antelope11002","Cirsium arvense","SP1Fulton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,2018-06-05,"*",2015-05-09,"The Seed House","Failure"
"53","Antelope11005","Andropogon gerardii","SP1Knievel",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2018-06-06,"5",2014-11-01,"Star Seed - Dealer - PF","Success"
"54","Antelope11005","Litter","SP1Knievel",6,NA,6,NA,6,NA,6,NA,6,NA,6,NA,6,NA,6,NA,5,NA,6,NA,1,2018-06-06,NA,2014-11-01,"Star Seed - Dealer - PF","Success"
"55","Antelope11005","Lepidium densiflorum","SP1Knievel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,2018-06-06,"0",2014-11-01,"Star Seed - Dealer - PF","Success"
"56","Antelope11005","Achillea millefolium","SP1Knievel",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2018-06-06,"2",2014-11-01,"Star Seed - Dealer - PF","Success"
"57","Antelope11005","Chenopodium album","SP2Knievel",NA,NA,1,NA,1,NA,2,NA,1,NA,1,NA,1,NA,2,NA,2,NA,1,NA,2,2018-06-06,"*",2014-11-01,"Star Seed - Dealer - PF","Success"
"58","Antelope11005","Conyza canadensis","SP1Knievel",2,NA,2,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,2018-06-06,"0",2014-11-01,"Star Seed - Dealer - PF","Success"
"59","Antelope11005","Achillea millefolium","SP2Knievel",2,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,2018-06-06,"2",2014-11-01,"Star Seed - Dealer - PF","Success"
"60","Antelope11005","Eragrostis trichodes","SP1Knievel",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2018-06-06,"5",2014-11-01,"Star Seed - Dealer - PF","Success"
"61","Antelope11005","Lespedeza capitata","SP2Knievel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,2018-06-06,"5",2014-11-01,"Star Seed - Dealer - PF","Success"
"62","Antelope11005","Ratibida pinnata","SP1Knievel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,1,NA,1,2018-06-06,"4",2014-11-01,"Star Seed - Dealer - PF","Success"
"63","Antelope11005","Potentilla arguta","SP1Knievel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,2018-06-06,"6",2014-11-01,"Star Seed - Dealer - PF","Success"
"64","Antelope11005","Ambrosia trifida","SP2Knievel",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2018-06-06,"0",2014-11-01,"Star Seed - Dealer - PF","Success"
"65","Antelope11005","Oenothera biennis","SP2Knievel",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2018-06-06,"1",2014-11-01,"Star Seed - Dealer - PF","Success"
"66","Antelope11005","Rudbeckia hirta","SP2Knievel",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2018-06-06,"4",2014-11-01,"Star Seed - Dealer - PF","Success"
"67","Antelope11005","Cynanchum laeve","SP2Knievel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,2018-06-06,"0",2014-11-01,"Star Seed - Dealer - PF","Success"
"68","Antelope11005","Ambrosia trifida","SP1Knievel",NA,NA,1,NA,2,NA,3,NA,1,NA,2,NA,2,NA,NA,NA,2,NA,1,NA,1,2018-06-06,"0",2014-11-01,"Star Seed - Dealer - PF","Success"
"69","Antelope11005","Schizachyrium scoparium","SP2Knievel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,2018-06-06,"4",2014-11-01,"Star Seed - Dealer - PF","Success"
"70","Antelope11005","Sorghastrum nutans","SP2Knievel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,2,2018-06-06,"5",2014-11-01,"Star Seed - Dealer - PF","Success"
"71","Antelope11005","Elymus canadensis","SP1Knievel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,2018-06-06,"5",2014-11-01,"Star Seed - Dealer - PF","Success"
"72","Antelope11005","Oxalis stricta","SP1Knievel",NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2018-06-06,"0",2014-11-01,"Star Seed - Dealer - PF","Success"
"73","Antelope11005","Oxalis stricta","SP2Knievel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,2,2018-06-06,"0",2014-11-01,"Star Seed - Dealer - PF","Success"
"74","Antelope11005","Schizachyrium scoparium","SP1Knievel",NA,NA,2,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,2,NA,NA,NA,1,2018-06-06,"4",2014-11-01,"Star Seed - Dealer - PF","Success"
"75","Antelope11005","Litter","SP2Knievel",6,NA,6,NA,6,NA,6,NA,3,NA,6,NA,6,NA,3,NA,6,NA,6,NA,2,2018-06-06,NA,2014-11-01,"Star Seed - Dealer - PF","Success"
"76","Antelope11005","Polygonum sp.","SP2Knievel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,2,2018-06-06,NA,2014-11-01,"Star Seed - Dealer - PF","Success"
"77","Antelope11005","Securigera varia","SP1Knievel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,1,NA,NA,1,2018-06-06,"*",2014-11-01,"Star Seed - Dealer - PF","Success"
"78","Antelope11005","Pascopyrum smithii","SP1Knievel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2018-06-06,"3",2014-11-01,"Star Seed - Dealer - PF","Success"
"79","Antelope11005","Oenothera rhombipetala","SP1Knievel",NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2018-06-06,"2",2014-11-01,"Star Seed - Dealer - PF","Success"
"80","Antelope11005","Bare Ground","SP1Knievel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,2,NA,NA,NA,1,2018-06-06,NA,2014-11-01,"Star Seed - Dealer - PF","Success"
"81","Antelope11005","Chenopodium album","SP1Knievel",NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,2018-06-06,"*",2014-11-01,"Star Seed - Dealer - PF","Success"
"82","Antelope11005","Bare Ground","SP2Knievel",NA,NA,NA,NA,NA,NA,1,NA,3,NA,1,NA,NA,NA,3,NA,1,NA,1,NA,2,2018-06-06,NA,2014-11-01,"Star Seed - Dealer - PF","Success"
"83","Antelope11005","Chloris verticillata","SP2Knievel",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,2,2018-06-06,"0",2014-11-01,"Star Seed - Dealer - PF","Success"
"84","Antelope11005","Rudbeckia hirta","SP1Knievel",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,1,2018-06-06,"4",2014-11-01,"Star Seed - Dealer - PF","Success"
"85","Antelope11005","Sorghastrum nutans","SP1Knievel",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,1,2018-06-06,"5",2014-11-01,"Star Seed - Dealer - PF","Success"
"86","Antelope11005","Carex brevior","SP1Knievel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,2018-06-06,"4",2014-11-01,"Star Seed - Dealer - PF","Success"
"87","Antelope11005","Conyza canadensis","SP2Knievel",1,NA,2,NA,2,NA,2,NA,2,NA,2,NA,1,NA,2,NA,NA,NA,2,NA,2,2018-06-06,"0",2014-11-01,"Star Seed - Dealer - PF","Success"
"88","Antelope11005","Eragrostis trichodes","SP2Knievel",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2018-06-06,"5",2014-11-01,"Star Seed - Dealer - PF","Success"
"89","Antelope11025A","Chenopodium album","SP2Pellatz",1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2018-06-06,"*",2015-05-31,"Kaup Forage and Turf","Failure"
"90","Antelope11025A","Litter","SP2Pellatz",2,NA,4,NA,3,NA,5,NA,4,NA,3,NA,2,NA,2,NA,2,NA,1,NA,2,2018-06-06,NA,2015-05-31,"Kaup Forage and Turf","Failure"
"91","Antelope11025A","Cannabis sativa","SP2Pellatz",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2018-06-06,"*",2015-05-31,"Kaup Forage and Turf","Failure"
"92","Antelope11025A","Ambrosia artemisiifolia","SP2Pellatz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,NA,2,2018-06-06,"0",2015-05-31,"Kaup Forage and Turf","Failure"
"93","Antelope11025A","Oenothera laciniata","SP2Pellatz",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2018-06-06,"1",2015-05-31,"Kaup Forage and Turf","Failure"
"94","Antelope11025A","Convolvulus arvensis","SP2Pellatz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2018-06-06,"*",2015-05-31,"Kaup Forage and Turf","Failure"
"95","Antelope11025A","Plantago patagonica","SP1Pellatz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,1,2018-06-06,"1",2015-05-31,"Kaup Forage and Turf","Failure"
"96","Antelope11025A","Physalis virginiana","SP2Pellatz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2018-06-06,"6",2015-05-31,"Kaup Forage and Turf","Failure"
"97","Antelope11025A","Conyza canadensis","SP2Pellatz",2,NA,2,NA,1,NA,3,NA,3,NA,4,NA,3,NA,2,NA,2,NA,3,NA,2,2018-06-06,"0",2015-05-31,"Kaup Forage and Turf","Failure"
"98","Antelope11025A","Schizachyrium scoparium","SP1Pellatz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,2018-06-06,"4",2015-05-31,"Kaup Forage and Turf","Failure"
"99","Antelope11025A","Chamaecrista fasciculata","SP1Pellatz",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,2018-06-06,"1",2015-05-31,"Kaup Forage and Turf","Failure"
"100","Antelope11025A","Triodanis perfoliata","SP2Pellatz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,2018-06-06,"2",2015-05-31,"Kaup Forage and Turf","Failure"
"101","Antelope11025A","Bare Ground","SP2Pellatz",4,NA,3,NA,3,NA,2,NA,2,NA,3,NA,5,NA,5,NA,5,NA,6,NA,2,2018-06-06,NA,2015-05-31,"Kaup Forage and Turf","Failure"
"102","Antelope11025A","Euphorbia dentata","SP2Pellatz",NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2018-06-06,"0",2015-05-31,"Kaup Forage and Turf","Failure"
"103","Antelope11025A","Andropogon gerardii","SP1Pellatz",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2018-06-06,"5",2015-05-31,"Kaup Forage and Turf","Failure"
"104","Antelope11025A","Bromus tectorum","SP1Pellatz",NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2018-06-06,"*",2015-05-31,"Kaup Forage and Turf","Failure"
"105","Antelope11025A","Bare Ground","SP1Pellatz",5,NA,4,NA,4,NA,4,NA,3,NA,5,NA,5,NA,5,NA,3,NA,3,NA,1,2018-06-06,NA,2015-05-31,"Kaup Forage and Turf","Failure"
"106","Antelope11025A","Chloris verticillata","SP2Pellatz",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2018-06-06,"0",2015-05-31,"Kaup Forage and Turf","Failure"
"107","Antelope11025A","Litter","SP1Pellatz",2,NA,2,NA,2,NA,3,NA,3,NA,2,NA,2,NA,2,NA,3,NA,2,NA,1,2018-06-06,NA,2015-05-31,"Kaup Forage and Turf","Failure"
"108","Antelope11025A","Schizachyrium scoparium","SP2Pellatz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2018-06-06,"4",2015-05-31,"Kaup Forage and Turf","Failure"
"109","Antelope11025A","Cyperus schwinitzii","SP1Pellatz",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2018-06-06,"4",2015-05-31,"Kaup Forage and Turf","Failure"
"110","Antelope11025A","Heterotheca subaxillaris","SP1Pellatz",3,NA,4,NA,4,NA,3,NA,5,NA,3,NA,3,NA,3,NA,3,NA,2,NA,1,2018-06-06,"2",2015-05-31,"Kaup Forage and Turf","Failure"
"111","Antelope11025A","Bromus tectorum","SP2Pellatz",NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2018-06-06,"*",2015-05-31,"Kaup Forage and Turf","Failure"
